127.0.0.1, 2014-11-18 22:08:15, GET, /, HTTP/1.1, 303, 0.001105
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/default/index, HTTP/1.1, 200, 1.237484
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000392
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000572
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000492
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001073
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000600
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000530
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000543
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000522
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000616
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000460
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000569
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000959
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001272
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001950
127.0.0.1, 2014-11-18 22:08:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000511
127.0.0.1, 2014-11-18 22:08:19, GET, /admin/default/index, HTTP/1.1, 200, 0.132902
127.0.0.1, 2014-11-18 22:08:19, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2014-11-18 22:08:19, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.001169
127.0.0.1, 2014-11-18 22:08:19, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.000665
127.0.0.1, 2014-11-18 22:08:20, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.000399
127.0.0.1, 2014-11-18 22:08:20, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001087
127.0.0.1, 2014-11-18 22:08:20, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000833
127.0.0.1, 2014-11-18 22:08:20, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000440
127.0.0.1, 2014-11-18 22:08:20, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001649
127.0.0.1, 2014-11-18 22:08:20, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.000393
127.0.0.1, 2014-11-18 22:08:20, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001322
127.0.0.1, 2014-11-18 22:08:20, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001662
